event_date,store_id,sku_id,event_observed_units,event_is_promo,iforest_anomaly_score,zscore_candidate,method_agreement,review_status
2024-03-10,16,1,17,True,0.13971846118240727,False,IFOREST_ONLY,UNREVIEWED
2024-03-02,20,2,14,True,0.1351687231501021,False,IFOREST_ONLY,UNREVIEWED
2024-03-15,16,1,11,True,0.12558222264042185,False,IFOREST_ONLY,UNREVIEWED
2024-03-14,16,1,14,True,0.10778644349839817,False,IFOREST_ONLY,UNREVIEWED
2024-03-17,16,8,10,True,0.10627222600587038,False,IFOREST_ONLY,UNREVIEWED
2024-03-16,16,1,13,False,0.10582709931874323,False,IFOREST_ONLY,UNREVIEWED
2024-02-25,20,3,11,False,0.10208116610788365,False,IFOREST_ONLY,UNREVIEWED
2024-03-03,20,2,13,False,0.09867330930109441,False,IFOREST_ONLY,UNREVIEWED
2024-03-13,16,1,11,False,0.097377014911038,False,IFOREST_ONLY,UNREVIEWED
2024-02-29,19,1,11,False,0.09496174155815174,False,IFOREST_ONLY,UNREVIEWED
2024-03-02,18,2,11,True,0.09486819130974655,False,IFOREST_ONLY,UNREVIEWED
2024-03-20,20,40,2,True,0.09481952797709992,False,IFOREST_ONLY,UNREVIEWED
2024-02-20,20,3,11,True,0.09452979126818706,False,IFOREST_ONLY,UNREVIEWED
2024-03-18,17,1,10,False,0.09205730641907395,False,IFOREST_ONLY,UNREVIEWED
2024-03-23,15,2,13,True,0.09169448798396185,False,IFOREST_ONLY,UNREVIEWED
2024-03-19,19,1,14,True,0.08847442701741104,False,IFOREST_ONLY,UNREVIEWED
2024-02-25,16,2,14,True,0.08733800212703491,False,IFOREST_ONLY,UNREVIEWED
2024-03-17,5,2,10,True,0.0870196014750747,False,IFOREST_ONLY,UNREVIEWED
2024-02-26,18,1,9,False,0.0863185721842209,False,IFOREST_ONLY,UNREVIEWED
2024-02-25,18,1,11,False,0.08513930253682778,False,IFOREST_ONLY,UNREVIEWED
