metric,value
total_rows,35032
reference_rows,18966
scoring_rows,16066
scorable_rows,13612
insufficient_history_rows,2454
zscore_candidate_count,1676
zscore_candidate_rate,0.12312665295327652
zscore_high_count,1037
zscore_low_count,639
zscore_zero_variance_candidate_count,527
isolation_forest_candidate_count,388
isolation_forest_candidate_rate,0.024150379683804308
both_flagged_count,35
zscore_only_count,1641
iforest_only_count,353
neither_count,14037
intersection_count,35
union_count,2029
jaccard_agreement,0.01724987678659438
overlap_fraction_of_zscore,0.020883054892601432
overlap_fraction_of_iforest,0.09020618556701031
zscore_anomaly_run_count,1625
iforest_anomaly_run_count,271
mean_sensitivity_top_1pct_jaccard,0.887348820178131
readiness,READY_WITH_LIMITATIONS
