metric,value
valid_baskets,2000
order_items,24370
unique_items,48
mean_basket_size,12.185
median_basket_size,8.0
single_item_basket_rate,0.0
basket_matrix_density,0.25385416666666666
frequent_itemset_count,763
raw_rule_count,1262
canonical_rule_count,1262
min_support,0.05
min_confidence,0.2
min_lift,1.05
median_rule_support,0.087
median_rule_confidence,0.3654819219596023
median_rule_lift,1.2708699513576387
max_rule_lift,1.6454585344449322
temporally_stable_rule_count,94
apriori_fpgrowth_consistent,True
readiness,READY_WITH_LIMITATIONS
