metric,value
promotion_count,3
exposure_count,2880
pre_vs_during_eligible_exposures,1920
during_vs_post_eligible_exposures,1920
full_cycle_eligible_exposures,960
zero_baseline_exposures,1
low_baseline_exposures,166
aggregate_pre_units_per_day,3402.2999999999997
aggregate_during_units_per_day,3613.8
aggregate_descriptive_units_change_per_day,211.50000000000045
aggregate_descriptive_units_change_fraction,0.06216383035005745
median_exposure_units_change_per_day,0.09999999999999998
positive_exposure_share,0.5494791666666666
negative_exposure_share,0.42604166666666665
aggregate_revenue_change_per_day,516.5736666666671
inventory_censored_day_rate,0.002916666666666667
baseline_sign_stability,0.796875
readiness,READY_WITH_LIMITATIONS
