metric,value
validation.baselines.always_no_stockout.average_precision,0.027529761904761904
validation.baselines.always_no_stockout.roc_auc,0.5
validation.baselines.always_no_stockout.brier,0.027529761904761904
validation.baselines.always_no_stockout.precision,0.0
validation.baselines.always_no_stockout.recall,0.0
validation.baselines.always_no_stockout.f1,0.0
validation.baselines.always_no_stockout.confusion_matrix.tn,2614
validation.baselines.always_no_stockout.confusion_matrix.fp,0
validation.baselines.always_no_stockout.confusion_matrix.fn,74
validation.baselines.always_no_stockout.confusion_matrix.tp,0
validation.baselines.always_no_stockout.predicted_positive_rate,0.0
validation.baselines.always_no_stockout.actual_positive_rate,0.027529761904761904
validation.baselines.always_no_stockout.rows,2688
validation.baselines.always_no_stockout.positive_horizons,74
validation.baselines.always_no_stockout.negative_horizons,2614
validation.baselines.below_reorder_point.average_precision,0.039926472738972735
validation.baselines.below_reorder_point.roc_auc,0.6304410761181993
validation.baselines.below_reorder_point.brier,0.3229166666666667
validation.baselines.below_reorder_point.precision,0.048863636363636366
validation.baselines.below_reorder_point.recall,0.581081081081081
validation.baselines.below_reorder_point.f1,0.09014675052410902
validation.baselines.below_reorder_point.confusion_matrix.tn,1777
validation.baselines.below_reorder_point.confusion_matrix.fp,837
validation.baselines.below_reorder_point.confusion_matrix.fn,31
validation.baselines.below_reorder_point.confusion_matrix.tp,43
validation.baselines.below_reorder_point.predicted_positive_rate,0.3273809523809524
validation.baselines.below_reorder_point.actual_positive_rate,0.027529761904761904
validation.baselines.below_reorder_point.rows,2688
validation.baselines.below_reorder_point.positive_horizons,74
validation.baselines.below_reorder_point.negative_horizons,2614
validation.baselines.below_safety_stock.average_precision,0.06896376427626427
validation.baselines.below_safety_stock.roc_auc,0.6324520771728116
validation.baselines.below_safety_stock.brier,0.06361607142857142
validation.baselines.below_safety_stock.precision,0.16083916083916083
validation.baselines.below_safety_stock.recall,0.3108108108108108
validation.baselines.below_safety_stock.f1,0.2119815668202765
validation.baselines.below_safety_stock.confusion_matrix.tn,2494
validation.baselines.below_safety_stock.confusion_matrix.fp,120
validation.baselines.below_safety_stock.confusion_matrix.fn,51
validation.baselines.below_safety_stock.confusion_matrix.tp,23
validation.baselines.below_safety_stock.predicted_positive_rate,0.05319940476190476
validation.baselines.below_safety_stock.actual_positive_rate,0.027529761904761904
validation.baselines.below_safety_stock.rows,2688
validation.baselines.below_safety_stock.positive_horizons,74
validation.baselines.below_safety_stock.negative_horizons,2614
validation.baselines.days_of_cover_rule.average_precision,0.06337475868725868
validation.baselines.days_of_cover_rule.roc_auc,0.6290090779379226
validation.baselines.days_of_cover_rule.brier,0.0703125
validation.baselines.days_of_cover_rule.precision,0.14285714285714285
validation.baselines.days_of_cover_rule.recall,0.3108108108108108
validation.baselines.days_of_cover_rule.f1,0.19574468085106383
validation.baselines.days_of_cover_rule.confusion_matrix.tn,2476
validation.baselines.days_of_cover_rule.confusion_matrix.fp,138
validation.baselines.days_of_cover_rule.confusion_matrix.fn,51
validation.baselines.days_of_cover_rule.confusion_matrix.tp,23
validation.baselines.days_of_cover_rule.predicted_positive_rate,0.059895833333333336
validation.baselines.days_of_cover_rule.actual_positive_rate,0.027529761904761904
validation.baselines.days_of_cover_rule.rows,2688
validation.baselines.days_of_cover_rule.positive_horizons,74
validation.baselines.days_of_cover_rule.negative_horizons,2614
validation.candidates.logistic_regression_balanced.threshold,0.9543339080839925
validation.candidates.logistic_regression_balanced.threshold_policy,maximize_validation_f1
validation.candidates.logistic_regression_balanced.average_precision,0.1572146382119825
validation.candidates.logistic_regression_balanced.roc_auc,0.7896048305382659
validation.candidates.logistic_regression_balanced.brier,0.11155683810895586
validation.candidates.logistic_regression_balanced.precision,0.2830188679245283
validation.candidates.logistic_regression_balanced.recall,0.40540540540540543
validation.candidates.logistic_regression_balanced.f1,0.3333333333333333
validation.candidates.logistic_regression_balanced.confusion_matrix.tn,2538
validation.candidates.logistic_regression_balanced.confusion_matrix.fp,76
validation.candidates.logistic_regression_balanced.confusion_matrix.fn,44
validation.candidates.logistic_regression_balanced.confusion_matrix.tp,30
validation.candidates.logistic_regression_balanced.predicted_positive_rate,0.03943452380952381
validation.candidates.logistic_regression_balanced.actual_positive_rate,0.027529761904761904
validation.candidates.logistic_regression_balanced.rows,2688
validation.candidates.logistic_regression_balanced.positive_horizons,74
validation.candidates.logistic_regression_balanced.negative_horizons,2614
validation.candidates.histogram_gradient_boosting.threshold,0.7695666515458811
validation.candidates.histogram_gradient_boosting.threshold_policy,maximize_validation_f1
validation.candidates.histogram_gradient_boosting.average_precision,0.19649782309604666
validation.candidates.histogram_gradient_boosting.roc_auc,0.8238125271407597
validation.candidates.histogram_gradient_boosting.brier,0.04144745740574901
validation.candidates.histogram_gradient_boosting.precision,0.33707865168539325
validation.candidates.histogram_gradient_boosting.recall,0.40540540540540543
validation.candidates.histogram_gradient_boosting.f1,0.36809815950920244
validation.candidates.histogram_gradient_boosting.confusion_matrix.tn,2555
validation.candidates.histogram_gradient_boosting.confusion_matrix.fp,59
validation.candidates.histogram_gradient_boosting.confusion_matrix.fn,44
validation.candidates.histogram_gradient_boosting.confusion_matrix.tp,30
validation.candidates.histogram_gradient_boosting.predicted_positive_rate,0.03311011904761905
validation.candidates.histogram_gradient_boosting.actual_positive_rate,0.027529761904761904
validation.candidates.histogram_gradient_boosting.rows,2688
validation.candidates.histogram_gradient_boosting.positive_horizons,74
validation.candidates.histogram_gradient_boosting.negative_horizons,2614
selection.selected_model,histogram_gradient_boosting
selection.threshold,0.7695666515458811
selection.strongest_baseline,below_safety_stock
test.selected_model.average_precision,0.2551216856988334
test.selected_model.roc_auc,0.7990970272672163
test.selected_model.brier,0.0634611237751356
test.selected_model.precision,0.33962264150943394
test.selected_model.recall,0.2903225806451613
test.selected_model.f1,0.3130434782608696
test.selected_model.confusion_matrix.tn,3549
test.selected_model.confusion_matrix.fp,105
test.selected_model.confusion_matrix.fn,132
test.selected_model.confusion_matrix.tp,54
test.selected_model.predicted_positive_rate,0.04140625
test.selected_model.actual_positive_rate,0.0484375
test.selected_model.rows,3840
test.selected_model.positive_horizons,186
test.selected_model.negative_horizons,3654
test.strongest_baseline.average_precision,0.15338970554875006
test.strongest_baseline.roc_auc,0.6766204071543338
test.strongest_baseline.brier,0.07161458333333333
test.strongest_baseline.precision,0.31223628691983124
test.strongest_baseline.recall,0.3978494623655914
test.strongest_baseline.f1,0.34988179669030733
test.strongest_baseline.confusion_matrix.tn,3491
test.strongest_baseline.confusion_matrix.fp,163
test.strongest_baseline.confusion_matrix.fn,112
test.strongest_baseline.confusion_matrix.tp,74
test.strongest_baseline.predicted_positive_rate,0.06171875
test.strongest_baseline.actual_positive_rate,0.0484375
test.strongest_baseline.rows,3840
test.strongest_baseline.positive_horizons,186
test.strongest_baseline.negative_horizons,3654
episode_test.test_episodes,33
episode_test.detected_episodes,15
episode_test.missed_episodes,18
episode_test.episode_detection_rate,0.45454545454545453
episode_test.lead_time_median_days,6.0
episode_test.lead_time_mean_days,5.066666666666666
episode_test.lead_time_min_days,1
episode_test.lead_time_max_days,7
episode_test.false_positive_rows,105
episode_test.false_alert_runs,47
episode_test.false_alert_run_median_days,1.0
episode_test.false_alert_run_max_days,14
